""	"PC9.DMSO1"	"PC9.DMSO2"	"PC9.DMSO3"	"PC9.osiacute1"	"PC9.osiacute2"	"PC9.osiacute3"	"PC9.osiDTP1"	"PC9.osiDTP2"	"PC9.osiDTP3"
"AC011005.1"	1.68412552632603	2.00041781847016	1.21654735794489	1.23374284264749	2.26033912133766	0.985970709152066	2.05837527989346	1.65853511915996	1.71893977744502
"AC011043.1"	1.68920782073286	2.02995754795859	1.75651550755729	0.955196507441116	1.63921165639737	0.833085075431013	1.04386950123916	1.78850250946916	1.42809465682761
"AC011043.3"	0.0784081114020762	0	0.0250415541941383	0	0	0	0.0910873839530949	0.0481432701639477	0
"AC011195.3"	0	0.0205295882932813	0	0.0735409942203534	0	0.0240655740510194	0	0	0
"AC011448.1"	5.48624378808208	7.47987099088582	5.26435476547937	8.89539260527259	7.35936740366929	6.290360255961	10.8718910883596	12.9404984254817	8.00990155513233
"AC011452.2"	0	0	0	0	0	0	0	0	0
"AC011455.2"	0	0.335081526613865	0	0	0	0	0	0	0.514621391144418
"AC011462.1"	0	0	0	1.31640273768675	4.41979155557085	1.22733555236231e-08	2.5480143156895	4.49122149329307	3.76912748410262
"AC011473.4"	0.170777983553341	0.1960509558925	0.412269093983773	0.287417077785817	0.349619364241954	0.0784873331115994	0	0.077194311073694	0.183212878295255
"AC011479.2"	0.0560231412162028	0.0415453899623293	0.0449512208597093	0.050530763468552	0.155841811151897	0	0.0602326347455547	0.106155459556057	0.183290189408775
"AC011498.4"	0.315565440927534	0.320914598684539	0.244078013415275	0.530880225324854	0.517872864332855	0.698996573143276	0.400360139429365	0.460419598452804	0.214053463633835
"AC011499.1"	0.111090288074724	0.131784030558986	0	0.0930743637080076	0.0630387260647661	0.0461548120088805	0.214975605317069	0.174955824951987	0.260477374256286
"AC011511.1"	2.05401596475296	1.8112242164836	2.13360638840574	3.1882468807503	3.77024484145598	2.60194911798846	2.6604937861167	3.19947380549146	3.04328494393111
"AC011511.4"	1.08327686189728	1.2658014479716	0.989608161999972	1.19052494124843	0	0.597851944626075	3.80633078665551e-08	2.8475588472746	0.8710702200454
"AC011530.1"	0.0830375453301173	0.159143685987595	0.144027539743078	0.051538048313223	0.0232843826802028	0.0525749154321602	0.0299340991193874	0.0259112786253498	0.0940343562883364
"AC011841.1"	0	0	0	0	0	0	0	0	0
"AC012184.2"	2.39261136845629	3.21601428576203	4.46544306646382	3.27681198905487	5.13211926440871	3.8127510812639	0.215325283814314	0.260832950487416	0.0154823216701925
"AC012254.2"	2.55065395904789	2.93243913835976	3.17064879963355	3.84902634763245	2.91955515975624	1.89930034551326	3.41466296183932	2.29575427127479	3.24355671050567
"AC012309.1"	0.190853585814211	0.0469141545740784	0.079046592809074	0.223299436065995	0	0.323859074109793	0.160353547942358	0.219528561322339	0
"AC012488.2"	0	0	0	4.95003974605728e-10	0	0	0	0	0
"AC012531.3"	0	0.033037968830061	0	0	0.0679674618612019	0.12605552233686	0	0	0.23319780172958
"AC012651.1"	0.127111166885626	0.0483612670327972	0.155366629272787	1.77429956750602	1.81990474425474	1.70379205118431	3.19270493102369	3.29331084070493	2.41974216629671
"AC013470.2"	0	0	0	0.143220937176961	0.148293679275109	0.0354470080991364	0.19181618908251	0.151105322121878	0.29007385565105
"AC013489.1"	0.194691679403702	0.22860824141747	0.373141308179844	0.164508008515552	0	0	0	0.176933212178909	0
"AC015688.4"	0	0	0.00668099869068491	0	0	0	0.26315499185424	0	0.0726160264987101
"AC015813.2"	0	0.303235852683138	0.518687846363166	0.157215205263851	0.361212510328078	0.425868529064438	0.169856495323705	0.505852504879463	0.361335252324708
